id;local_id_number;effective_date;sequence;local_company_code;legal_group_company_code;establishment;pole_activity_group_code;group_sub_pole_activity_code;group_sub_pole_activity_title;budgetary_affectation_department_code;budgetary_affectation_department_label;budget_functional_id_sakkarah;administrative_department_local_code;administrative_department_local_label;admin_functional_id_sakkarah;detachment_group_company;detachment_legal_group_company
1;Uganda;2020-03-30T12:44:30;incentivize;target;withdrawal Berkshire;Dynamic synthesizing;fault-tolerant Cameroon;core transmitter;Assistant;hard drive deposit Polarised;Movies;Concrete Innovative Bedfordshire;global;Somoni transmitter;deposit Directives;bypassing integrated Tasty Frozen Computer;Face to face
2;haptic;2020-03-30T16:05:10;Refined Concrete Keyboard Louisiana;leverage multimedia payment;quantify;Colorado Buckinghamshire;invoice groupware Optimized;Hryvnia payment reciprocal;Bedfordshire;indexing sticky;Refined Wooden Soap Home Loan Account Dynamic;Fully-configurable convergence;blue Investment Account next generation;digital;Investment Account mobile;heuristic deposit Buckinghamshire;collaborative mission-critical Yuan Renminbi
3;Plains Shirt backing up;2020-03-30T10:47:31;programming;Dong;turquoise;cohesive Research;Buckinghamshire Communications Accounts;Svalbard & Jan Mayen Islands Facilitator;Springs Tasty Steel Bacon;Concrete;auxiliary De-engineered;JSON;Program;Bolivia Plastic Markets;paradigms;digital;Freeway
4;Faroe Islands Gorgeous;2020-03-30T11:59:13;system benchmark;Rupiah;Montana invoice;collaboration Senior Borders;Savings Account;Metal Jewelery New Caledonia;Soap Borders data-warehouse;infrastructure Games Incredible Concrete Pizza;Pants;plum Maine Berkshire;stable cohesive Handcrafted Fresh Ball;Avon revolutionary;Small world-class rich;Cuban Peso Peso Convertible Producer;Illinois
5;digital;2020-03-30T18:07:10;Awesome Future;infrastructures Buckinghamshire grey;Soap Supervisor robust;payment;Albania olive Investment Account;Outdoors;Cambridgeshire;Gorgeous Soft Mouse AI virtual;SAS vertical Agent;Health Strategist;Credit Card Account;alarm Specialist;Intelligent Metal Tuna Passage B2C;COM Fresh Liaison;HDD connecting infomediaries
6;Sleek Fresh Car;2020-03-30T13:39:39;Personal Loan Account Concrete connecting;Optimization 3rd generation;challenge Mexico;Investment Account;Dynamic;workforce Island Iceland Krona;Ball IB;Mobility;Accountability CFA Franc BCEAO;card Villages;Brand;mobile analyzer withdrawal;frictionless SSL Arkansas;Georgia unleash black;transform Maine Diverse
7;optical conglomeration;2020-03-30T19:45:46;calculate;SMTP Buckinghamshire;collaborative integrated;protocol Credit Card Account;AI Re-engineered Intelligent;Senior transmitter Shoes;iterate;Fresh;Chips Generic open-source;parsing International Tools;eyeballs Cuban Peso Peso Convertible;implement Credit Card Account Auto Loan Account;Administrator utilize;National neutral;Implemented Marketing invoice
8;Legacy Unbranded;2020-03-30T17:19:41;Lead;JBOD Table Checking Account;Sleek Unbranded Plastic Gloves;Fully-configurable Web;Director EXE;success;withdrawal;expedite;generating;transmit Kip;national JBOD e-business;composite;USB Buckinghamshire website;Engineer;cross-platform
9;Cuban Peso Peso Convertible Botswana;2020-03-30T18:55:19;PCI Ergonomic;Division users;hard drive Incredible strategic;Avon Pizza;product Senior;viral;bandwidth-monitored Agent;Supervisor;Buckinghamshire;leverage Savings Account Fresh;6th generation Books;Unbranded;indexing methodologies bandwidth;Locks real-time;Books magenta
10;disintermediate Rustic;2020-03-30T17:11:01;interface Graphical User Interface El Salvador Colon US Dollar;digital Facilitator;networks composite withdrawal;Technician invoice;rich primary;Global XML Customizable;Cambridgeshire intangible;Usability Technician digital;Groves compelling;Liaison Louisiana Greece;Integration maximized metrics;Applications Kenya;Plastic Supervisor;Handmade Lebanese Pound Savings Account;paradigm neural
