id;managerial_link_type;local_id_number;local_id_direct_manager;ggi_direct_line_manager;manager_last_name;manager_first_name
1;Wyoming;Iowa backing up Centers;Customer;PNG Wooden Legacy;Legacy Developer;back-end frame
2;Branding;RSS;Fantastic Wooden Ball;sensor;Utah;withdrawal Sports
3;RSS;Fantastic;HTTP;haptic;Pants;Auto Loan Account Tuvalu
4;Computer infrastructures protocol;Soft Netherlands Antillian Guilder;Industrial input;Future XML THX;program Generic Metal Car ADP;Sausages
5;Automotive back-end;array Supervisor zero tolerance;online Administrator Cambridgeshire;feed;Ethiopian Birr Investment Account compressing;orange Mill
6;Fresh Grocery;Intelligent Soft Chicken Cotton;Norway generate methodologies;e-business;Solutions;Central Mouse
7;maroon digital;hacking Avon Handcrafted;Fiji Dollar North Dakota 24/7;ADP Unbranded Generic;synergies compressing Cook Islands;Ball
8;Automotive synthesizing;Ergonomic;Frozen;pixel;groupware;Customer Licensed Metal Chicken
9;Drive purple monitor;metrics wireless;relationships monitoring secondary;parsing Rustic;Savings Account Marshall Islands;bus Plain
10;Small Soft Mouse Generic Metal Bacon strategy;Handmade deposit;driver;interfaces;bandwidth-monitored toolset payment;SAS
