id;local_id_number;effective_date;sequence;assignment_type;assignment_type_label;host_company_code;group_host_company_code
1;quantify open-source Awesome;2020-03-31T01:59:26;matrices Rapid Gorgeous;Mexican Peso Mexican Unidad de Inversion (UDI);Coordinator Automated;silver;Group killer Innovative
2;infomediaries Handmade Wooden Soap;2020-03-30T21:41:31;driver;hack;Borders Credit Card Account;Handmade Buckinghamshire program;Self-enabling Checking Account Principal
3;input port;2020-03-30T18:25:12;enable IB;channels Ameliorated Self-enabling;bypassing open-source Polarised;Unbranded Ports;quantify sky blue
4;Optimization Central clicks-and-mortar;2020-03-30T13:25:26;connecting;Money Market Account;Crest bypass navigate;Awesome Rubber Soap RSS District;Fords
5;markets;2020-03-31T08:08:11;deposit haptic;solid state zero tolerance;Regional;Coordinator;Program Plastic circuit
6;Berkshire cultivate Luxembourg;2020-03-30T17:46:05;niches Unbranded;Automotive;encoding Practical leading-edge;productivity Refined;hack
7;Borders Cambridgeshire bandwidth;2020-03-31T08:50:41;Jewelery payment;User-centric Gorgeous Granite Hat Granite;Sleek Rubber Pizza Regional utilize;Japan;Buckinghamshire
8;projection Customer Right-sized;2020-03-30T12:28:53;multi-state;Sausages withdrawal Reduced;back-end;Public-key USB;Practical generate Licensed Cotton Soap
9;local area network Pants Towels;2020-03-31T03:10:15;Tunnel;Planner;Liaison Malaysia Nuevo Sol;PNG reinvent;Handcrafted Soft Chair Auto Loan Account Chief
10;solid state Checking Account Awesome Fresh Ball;2020-03-30T19:31:13;connect;Court;Assimilated backing up artificial intelligence;web-readiness SSL;Israel maroon
