id;local_id_number;marital_status_code;marital_status_label;effective_date
1;paradigms Concrete;Tasty Steel Soap Customizable;Corporate;2020-03-30T23:54:38
2;open-source;Berkshire;Handcrafted Fresh Tuna Team-oriented;2020-03-31T02:02:18
3;Bedfordshire Money Market Account Sharable;homogeneous;Beauty Cheese magenta;2020-03-31T02:18:58
4;Public-key;orchestrate magnetic Future;Savings Account;2020-03-30T20:48:43
5;withdrawal Bedfordshire;web-enabled bluetooth withdrawal;Jamaica;2020-03-30T22:49:04
6;RAM;payment;purple;2020-03-31T05:19:02
7;Nauru;Savings Account;Graphical User Interface;2020-03-31T03:08:41
8;virtual Chicken solid state;Applications;Officer Cheese;2020-03-31T09:14:18
9;Colombia redundant GB;Generic Wooden Tuna Concrete protocol;SMTP;2020-03-31T09:45:00
10;Planner Rustic;IB;AI Louisiana Synergistic;2020-03-31T01:43:08
