id;local_id_number;effective_assignment_date;sequence;assignment_type;assignment_type_label;home_company_code;group_home_company_code
1;relationships California Andorra;2020-03-31T01:43:57;incubate;District Liaison Tactics;Nebraska;Awesome Cotton Shoes;connect Walks
2;parsing;2020-03-30T23:41:41;Mill;Minnesota microchip online;Product;Executive;Automotive explicit matrix
3;bandwidth solutions Gibraltar Pound;2020-03-31T06:01:28;Money Market Account Austria;Frozen;Personal Loan Account redundant;Gold digital Sharable;deposit
4;asymmetric Hat;2020-03-30T13:44:40;generating;Future;transform;Money Market Account;web services multi-tasking
5;payment;2020-03-31T01:22:07;Lane Puerto Rico;bypassing open architecture;Auto Loan Account Buckinghamshire bypass;Designer ADP maximize;Wisconsin
6;New Mexico;2020-03-31T05:46:37;payment Sausages Function-based;deposit program Outdoors;maximize Indiana;Avon connecting program;Faroe Islands
7;backing up paradigm hard drive;2020-03-31T03:37:32;Unbranded;Licensed;Clothing;Sausages Alabama Berkshire;Buckinghamshire
8;neural;2020-03-30T16:13:10;North Dakota Cambridgeshire instruction set;convergence Latvian Lats Savings Account;Colorado Personal Loan Account;Brand;azure North Dakota
9;Communications;2020-03-31T01:15:24;monitoring;Germany Agent;e-tailers Saint Lucia;Auto Loan Account Generic;Graphical User Interface
10;firewall Concrete Home Loan Account;2020-03-30T11:59:50;Fish aggregate virtual;Handmade Practical;Cape;Inverse multi-byte;compress Administrator
