id;local_id_number;group_sg_date_of_entry;sg_seniority_date;hire_date;banking_sector_seniority;ending_of_trial_period_estimated_date
1;Architect;2020-03-31T05:47:57;2020-03-30T13:13:52;2020-03-30T19:16:58;Executive Texas applications;2020-03-30T13:48:02
2;Dalasi cultivate Borders;2020-03-30T18:25:13;2020-03-30T22:42:40;2020-03-31T01:30:07;Dynamic SAS Chicken;2020-03-31T05:58:29
3;Enterprise-wide Savings Account front-end;2020-03-30T20:19:05;2020-03-31T07:44:51;2020-03-30T17:05:39;Group;2020-03-30T14:27:21
4;Cotton;2020-03-30T21:26:52;2020-03-30T11:33:58;2020-03-30T11:19:08;Investment Account Concrete RSS;2020-03-30T16:25:23
5;Haiti Customer;2020-03-31T06:20:25;2020-03-31T02:15:29;2020-03-31T00:56:45;quantify Madagascar Automotive;2020-03-30T15:51:07
6;XSS;2020-03-31T09:00:22;2020-03-31T00:49:08;2020-03-31T09:10:43;program;2020-03-30T12:57:40
7;FTP Refined Timor-Leste;2020-03-31T01:01:13;2020-03-31T03:00:15;2020-03-30T23:07:01;pricing structure East Caribbean Dollar deposit;2020-03-30T13:20:30
8;Lead Forward exploit;2020-03-30T13:46:34;2020-03-30T13:34:37;2020-03-31T07:03:00;Vermont;2020-03-31T08:52:05
9;bluetooth;2020-03-31T04:11:51;2020-03-31T07:23:08;2020-03-31T08:58:29;Handcrafted;2020-03-30T12:42:43
10;bifurcated pixel payment;2020-03-30T15:54:29;2020-03-30T20:24:01;2020-03-30T12:42:59;impactful violet;2020-03-30T12:12:53
