id;local_id_number;fixed_compensation_type_group_code;fixed_compensation_type_group_label;effective_beginning_date;fixed_compensation_currency;fixed_compensation_local_type_code;fixed_compensation_local_type_label;fixed_compensation_amount;compensation_frequency;effective_end_date;fixed_compensation_effective_sequence
1;streamline;Avon Small Movies;SSL;2020-03-31T06:32:09;Bedfordshire structure Leone;Clothing Tanzanian Shilling;XSS PNG;gold extranet navigate;Tasty Frozen Fish Bedfordshire hack;2020-03-31T09:09:55;Car
2;Buckinghamshire Soft Cross-platform;solutions;Innovative Home Loan Account impactful;2020-03-31T00:04:33;Beauty portals;Grass-roots;Granite;Nebraska Borders;leading-edge Chips Implementation;2020-03-30T22:32:38;withdrawal Nepalese Rupee Montana
3;Fantastic Tools;user-centric pixel Designer;Home EXE invoice;2020-03-31T08:33:32;sensor Nuevo Sol tan;implement Equatorial Guinea;Table Tactics;synthesize;matrix Checking Account Profit-focused;2020-03-31T00:42:57;Chips
4;brand Credit Card Account;calculating lavender parse;Grocery;2020-03-31T06:21:31;Global;Soft;salmon Open-source Sleek Steel Car;middleware;integrate;2020-03-30T19:48:39;Lights Ways
5;e-markets;Pizza synergize;feed RAM South Dakota;2020-03-30T11:07:07;reintermediate Home Loan Account Arkansas;Guinea-Bissau;transmit;Representative;impactful;2020-03-31T03:48:25;San Marino Metal
6;intranet;Palau Stand-alone;navigate Music;2020-03-30T14:14:23;Rial Omani Ridges;Ohio;optimal application;Pre-emptive lavender Field;architectures;2020-03-30T13:27:29;virtual Berkshire Handcrafted Concrete Computer
7;deposit invoice Berkshire;impactful Costa Rican Colon;SAS;2020-03-30T22:51:58;bypass Credit Card Account mission-critical;hard drive program fresh-thinking;Money Market Account Soft;Chips customer loyalty Tuna;Assurance Architect;2020-03-31T08:39:42;clear-thinking salmon Developer
8;multi-byte SQL;Clothing Sleek Rubber Shirt Intelligent Steel Car;Coordinator;2020-03-30T16:19:26;neural Representative robust;Clothing;Chips;Forward Devolved;SMTP;2020-03-30T17:37:53;EXE challenge
9;interface Nevada Monitored;haptic;Nebraska;2020-03-30T19:48:07;bandwidth Rubber;Towels Buckinghamshire;Nauru Officer conglomeration;turquoise zero defect Tuna;AI indexing;2020-03-30T13:03:30;purple Ireland
10;calculating;Spain one-to-one Montenegro;Missouri Unbranded visualize;2020-03-31T04:13:37;Beauty;niches Specialist e-enable;Technician cyan Face to face;Coordinator;Agent Facilitator;2020-03-30T12:39:40;streamline Intelligent Fresh Sausages
