id;job_title;job_title_a;min_salary;max_salary
1;Dynamic Operations Associate;Optimization Fresh;69364;96146
2;Investor Configuration Liaison;maximize;75953;13628
3;Dynamic Solutions Architect;ubiquitous;63563;69442
4;Central Directives Liaison;back up;79478;9604
5;Forward Applications Assistant;implement Borders;44097;21485
6;National Implementation Administrator;synthesizing Practical Plastic Fish Flat;21881;63091
7;Human Division Designer;Ergonomic;34047;10962
8;Central Branding Consultant;card Multi-channelled;50469;59351
9;Internal Identity Consultant;initiatives Shirt internet solution;87860;72082
10;Global Usability Producer;invoice Avon;69068;62187
