id;local_id_number;effective_date;sequence;local_classification_code;local_classification_label;group_classification_code;group_classification_label;professional_category_code;professional_category_label
1;Industrial Automotive;2020-03-31T09:29:52;back up;Louisiana Games model;encompassing;bandwidth;Supervisor magenta New Mexico;Meadow Bedfordshire;grey e-business
2;Practical;2020-03-31T00:23:31;Reactive;Greece customized vortals;SDD Interactions;Checking Account THX;connect Grove;Saint Pierre and Miquelon;Open-architected
3;value-added throughput Kids;2020-03-30T11:02:18;Indian Rupee Locks;Dynamic Savings Account visualize;Interactions ADP South Carolina;Manat;initiative Profound;Underpass Illinois;deposit
4;online;2020-03-31T00:54:20;Enterprise-wide;target;e-enable Gorgeous Versatile;Kwacha Washington;program;bypassing North Dakota;Borders
5;Up-sized Functionality;2020-03-30T11:31:45;Web;calculate transmit;reboot calculate initiative;AGP Associate input;disintermediate Flat;Diverse;Handmade
6;withdrawal Oklahoma;2020-03-30T21:32:26;white ROI US Dollar;azure;Stream Program;Montana matrix programming;Functionality vortals XML;Investment Account Gardens Cambridgeshire;incremental
7;override Investor Checking Account;2020-03-31T01:11:07;Lithuanian Litas Music parsing;Hong Kong Dollar paradigms;haptic synthesize Quality;index Inlet;Plaza IB;syndicate front-end deploy;plum harness Product
8;Security Turkish Lira recontextualize;2020-03-30T19:05:04;Small Metal Table Chicken value-added;disintermediate;Architect Ergonomic;Interactions Baby end-to-end;Expanded function;Tasty;Incredible Metal Ball
9;Cambridgeshire Michigan;2020-03-31T01:17:57;Overpass digital Engineer;brand Kwanza;Buckinghamshire turquoise South Georgia and the South Sandwich Islands;content;Bike Berkshire Colorado;multi-tasking archive;proactive online Fiji Dollar
10;Bedfordshire;2020-03-31T04:34:57;olive;Costa Rican Colon mesh;bandwidth Fantastic connecting;extensible index;Montana;customized;enterprise Moldovan Leu stable
