id;start_date;end_date;language
1;2020-03-23T12:01:00;2020-03-23T09:51:15;SPANISH
2;2020-03-22T16:51:11;2020-03-23T11:55:36;SPANISH
3;2020-03-23T07:46:30;2020-03-22T18:20:39;FRENCH
4;2020-03-22T23:04:01;2020-03-23T10:35:27;FRENCH
5;2020-03-23T08:34:19;2020-03-23T13:21:18;FRENCH
6;2020-03-23T02:26:40;2020-03-23T14:34:54;FRENCH
7;2020-03-23T04:12:00;2020-03-22T22:02:51;FRENCH
8;2020-03-23T03:08:13;2020-03-23T13:24:21;SPANISH
9;2020-03-23T01:49:22;2020-03-22T22:30:45;SPANISH
10;2020-03-23T10:01:26;2020-03-22T20:35:56;SPANISH
