id;local_id_number;language_code;language_label;language_speak_proficiency_code;language_speak_proficiency_label;language_read_proficiency_code;language_read_proficiency_label;language_write_proficiency_code;language_write_proficiency_label;native_language;language_level_local_code;language_level_local_label;language_level_group_code;language_level_group_label
1;European Monetary Unit (E.M.U.-6);infrastructure;Rubber Shirt;compressing Wooden Australian Dollar;Communications Bolivar Fuerte;Liaison Specialist;Faroe Islands;forecast;Belarus web-enabled;payment;Refined Maryland;Shoes;Home Loan Account wireless Fundamental;generate
2;SSL Ergonomic Fresh Towels;Michigan Handcrafted Massachusetts;Refined Granite Hat Incredible;help-desk;e-commerce;Ergonomic Greenland Personal Loan Account;Corporate Refined;Tools;back up;Chief demand-driven;optical;Anguilla array programming;RAM;invoice Gabon Frozen
3;SAS Ergonomic mint green;Gloves transmitting extend;Indian Rupee Senior;synthesize optical throughput;orchid installation compress;Freeway customer loyalty;Connecticut Global;Gloves SQL;Shirt algorithm;Nebraska;Norway;Saint Helena Pound Money Market Account Soap;withdrawal Fresh South Carolina;neutral redefine architectures
4;Metal;initiatives;Small Soft Bacon;Argentine Peso Specialist;Credit Card Account Intelligent;Identity Applications Avon;Sleek PCI;scale XML;Kentucky;engineer Alabama supply-chains;Inlet Money Market Account compress;orange Buckinghamshire;neural-net;Barbados Architect matrix
5;impactful green;Colorado white Handmade;Soft Assurance Creative;Total;embrace;Lead Cape Verde Escudo;Shoes calculate methodology;24 hour Sleek Fresh Table AGP;Mews Lek;leverage interactive;Licensed;Morocco Investment Account Borders;Web ADP;olive navigate Moldova
6;Music;reboot Awesome Plastic Bacon Auto Loan Account;Cloned Forward;Integration Customer Wall;Georgia;Human Applications bluetooth;Agent;Nevada Generic;deposit Aruban Guilder Enhanced;Officer;Western Sahara;platforms;Fresh;online
7;AGP Metal Granite;Locks;firewall;Strategist Incredible Rubber Salad Fresh;Brand brand Home Loan Account;paradigms;Borders;back up JBOD;Buckinghamshire Liechtenstein;Product;Handcrafted Steel;magnetic;Games Executive Internal;Fish Refined Concrete Sausages
8;Buckinghamshire indigo Analyst;Handcrafted;payment Innovative reboot;Grocery Intelligent online;Saudi Riyal parse;magenta;primary repurpose;Keyboard JBOD turn-key;black Ridge Savings Account;Refined New Jersey;turquoise withdrawal Enhanced;bypass bandwidth;neutral quantify RSS;Licensed Steel Cheese Kentucky 24/7
9;online Concrete Games;red payment composite;Vermont Global eco-centric;Toys Electronics functionalities;orchid Benin Automotive;Kiribati Wisconsin;RSS extend;Bike upward-trending Avon;Guyana;Checking Account;compressing;Auto Loan Account Money Market Account mint green;instruction set;Future
10;Buckinghamshire Plastic Intranet;payment Small Cotton Gloves;Investment Account;Wooden Ergonomic Granite Computer;Rustic Steel Bike Ergonomic Unbranded Rubber Gloves;encompassing optical;needs-based cross-platform Beauty;Cedi Fish;Massachusetts;Home Loan Account;hybrid Plain;Technician;haptic;Lao People's Democratic Republic ubiquitous seamless
