id;local_id_number;variable_compensation_type_group_code;variable_compensation_type_group_label;effective_beginning_date;variable_compensation_currency;variable_compensation_local_type_code;variable_compensation_local_type_label;variable_compensation_amount;effective_end_date
1;Planner Locks;Berkshire Personal Loan Account Distributed;mesh Intelligent Rubber Salad neural;2020-03-30T18:20:38;Corporate navigating;Incredible Plastic Chips recontextualize Ameliorated;Games;Unbranded Cotton Car;2020-03-31T04:20:04
2;Indiana;flexibility Product;Steel Assurance stable;2020-03-31T05:15:27;Arkansas Liechtenstein bypassing;Security convergence system;Avon black redundant;Generic disintermediate;2020-03-30T10:21:37
3;parsing;Junctions Checking Account Arkansas;Dynamic;2020-03-30T17:40:58;overriding teal Shoes;neural JSON;utilize;Towels;2020-03-30T20:54:05
4;Ergonomic Rubber Soap whiteboard;index Assurance efficient;Intelligent Steel Pants;2020-03-31T06:36:52;Generic;Small Avon ROI;web-readiness;Tala payment Manager;2020-03-30T19:18:26
5;Plastic Zloty;sensor Technician withdrawal;Colorado Accounts;2020-03-31T05:04:48;optical feed optical;European Monetary Unit (E.M.U.-6);Global Analyst;Chair Baby;2020-03-31T03:43:45
6;Berkshire productize deposit;Gorgeous Concrete Shirt Markets Pants;Run back-end yellow;2020-03-30T16:31:44;application payment Plastic;Factors;orchestration generate web-enabled;web services copy;2020-03-30T10:51:15
7;Kenya Designer 24/365;compress Ergonomic sensor;Persistent mission-critical;2020-03-30T11:23:09;back-end;paradigms;open architecture payment;customer loyalty;2020-03-30T18:20:11
8;Dynamic Team-oriented;back up;Phased bluetooth;2020-03-31T05:59:41;Circle Square;Handcrafted Soft Pants;indexing generate Generic Frozen Chips;Markets Delaware;2020-03-30T19:27:01
9;Re-engineered;Regional;optical Fresh;2020-03-30T13:02:45;panel Stravenue;IB sensor Ball;Cambridgeshire;Rubber Research;2020-03-30T23:23:24
10;unleash Greenland;Beauty monitor budgetary management;target;2020-03-30T14:58:57;District;Wooden Granite National;Electronics District;parse RSS;2020-03-31T08:38:22
