id;management_hris_code;local_id_number;management_hris_label;entity_management_code
1;initiatives wireless ADP;Generic migration mobile;Saudi Riyal lavender primary;olive calculating
2;mobile Response hacking;West Virginia;synthesize Cambridgeshire;Cameroon COM SMS
3;holistic black Svalbard & Jan Mayen Islands;1080p;portal;Ergonomic Frozen Soap
4;Central circuit;impactful;algorithm parsing;Table
5;Coordinator Dynamic;feed Music;technologies convergence Home Loan Account;extend payment
6;Cambridgeshire Jewelery input;reinvent Awesome Azerbaijan;Fantastic Robust;Product
7;holistic local;monitor iterate Generic;monitor;Bacon data-warehouse transmit
8;Assurance;Technician Producer;programming;JSON Agent Avon
9;Human RAM schemas;deposit partnerships Licensed;Corporate Minnesota;Soap user-centric Minnesota
10;neural overriding Facilitator;Practical;systemic;Arizona Port olive
